,Player,Age,League,Position,Team,Birth country,Non-penalty goals per 90,npxG per 90,"Successful dribbles, %","Goal conversion, %",Touches in box per 90,"Accurate short / medium passes, %",Passes per 90,Shot assists per 90,xA per 90,Assists per 90,Second assists per 90,Third assists per 90,Progressive passes per 90,Progressive runs per 90,"Duels won, %",pAdj Tkl+Int per 90,Successful defensive actions per 90,PAdj Sliding tackles,"Defensive duels won, %",Fouls per 90,Cards per 90,Shots blocked per 90,PAdj Interceptions,"Aerial duels won, %","Accurate long passes, %","1st, 2nd, 3rd assists",Conceded goals per 90,Prevented goals per 90,Shots against per 90,"Save rate, %",Exits per 90,Passes,"Long Pass
Cmp %","% of Passes
Being Short","% of Passes
Being Lateral","Received
Passes",Goals prevented %,"Accurate passes, %",Shots per 90,"Accurate crosses, %",Smart passes per 90,xA per Shot Assist,Accelerations per 90,Aerial duels won per 90,Fouls suffered per 90,npxG per shot,Crosses per 90
0,M. Hidayat,20,BRI Liga 1 25-26,RB,PSM,Indonesia,0.7705479452054794,0.7876712328767124,0.363013698630137,0.7397260273972602,0.8595890410958904,0.10273972602739725,0.0410958904109589,0.6986301369863014,0.7808219178082192,0.2945205479452055,0.8732876712328768,0.339041095890411,0.2945205479452055,0.6712328767123288,0.5273972602739726,0.6575342465753424,0.7191780821917808,0.952054794520548,0.8013698630136986,0.7534246575342466,0.6438356164383562,0.18835616438356165,0.4657534246575342,0.08904109589041095,0.08904109589041095,0.5958904109589042,0.4965753424657534,0.5034246575342466,0.17465753424657537,0.13013698630136986,0.5034246575342466,0.0410958904109589,0.08904109589041095,0.5034246575342466,0.5136986301369864,0.04794520547945205,0.5034246575342466,0.08904109589041095,0.7602739726027398,0.571917808219178,0.2671232876712329,0.8664383561643836,0.19863013698630136,0.3219178082191781,0.363013698630137,0.6643835616438356,0.7636986301369864
1,Muhammad Buffon,20,BRI Liga 1 25-26,RB,Borneo FC,Indonesia,0.2636986301369863,0.0410958904109589,0.6095890410958904,0.2534246575342466,0.4520547945205479,0.2568493150684932,0.5136986301369864,0.7226027397260274,0.75,0.2945205479452055,0.339041095890411,0.9178082191780822,0.5958904109589042,0.4315068493150685,0.6164383561643836,0.3972602739726027,0.5753424657534246,0.7945205479452054,0.2808219178082192,0.8287671232876712,0.7226027397260274,0.4280821917808219,0.2808219178082192,0.8767123287671232,0.10273972602739725,0.5376712328767124,0.4965753424657534,0.5034246575342466,0.3287671232876712,0.7397260273972602,0.5034246575342466,0.5136986301369864,0.10273972602739725,0.5034246575342466,0.6506849315068494,0.5684931506849316,0.5034246575342466,0.3835616438356164,0.03767123287671233,0.8082191780821918,0.2671232876712329,0.6986301369863014,0.4828767123287671,0.6917808219178082,0.613013698630137,0.0547945205479452,0.6164383561643836
2,Dony Pamungkas,21,BRI Liga 1 25-26,"LB, LWB",Persija,Indonesia,0.6198630136986302,0.410958904109589,0.7808219178082192,0.7397260273972602,0.8253424657534246,0.8287671232876712,0.8698630136986302,0.8424657534246576,0.8767123287671232,0.678082191780822,0.910958904109589,0.958904109589041,0.3184931506849315,0.9897260273972602,0.589041095890411,0.4794520547945205,0.363013698630137,0.1506849315068493,0.6404109589041096,0.7534246575342466,0.5821917808219178,0.4657534246575342,0.5684931506849316,0.3698630136986301,0.8835616438356164,0.9041095890410958,0.4965753424657534,0.5034246575342466,0.07534246575342463,0.8767123287671232,0.5034246575342466,0.8698630136986302,0.8835616438356164,0.5034246575342466,0.6095890410958904,0.910958904109589,0.5034246575342466,0.8493150684931506,0.4349315068493151,0.541095890410959,0.6438356164383562,0.8356164383561644,0.9452054794520548,0.4589041095890411,0.565068493150685,0.4315068493150685,0.9246575342465754
3,Kadek Priyatna,21,BRI Liga 1 25-26,"LCB, RCB",Bali United,Indonesia,0.2636986301369863,0.4246575342465753,0.363013698630137,0.2534246575342466,0.3287671232876712,0.821917808219178,0.7465753424657534,0.10273972602739725,0.11643835616438356,0.2945205479452055,0.339041095890411,0.8184931506849316,0.541095890410959,0.958904109589041,0.4965753424657534,0.6712328767123288,0.5273972602739726,0.5068493150684932,0.7054794520547946,0.3835616438356164,0.7773972602739726,0.7808219178082192,0.678082191780822,0.3904109589041096,0.23972602739726026,0.4246575342465753,0.4965753424657534,0.5034246575342466,0.7089041095890412,0.8013698630136986,0.5034246575342466,0.7465753424657534,0.23972602739726026,0.5034246575342466,0.4178082191780822,0.773972602739726,0.5034246575342466,0.7876712328767124,0.3595890410958904,0.2773972602739726,0.797945205479452,0.11643835616438356,0.8082191780821918,0.636986301369863,0.10616438356164383,0.547945205479452,0.2328767123287671
4,Ananda Raehan,22,BRI Liga 1 25-26,"RB, RCMF, RDMF",PSM,Indonesia,0.2636986301369863,0.6712328767123288,0.2465753424657534,0.2534246575342466,0.5993150684931506,0.22602739726027396,0.10273972602739725,0.9383561643835616,0.928082191780822,0.9726027397260274,0.339041095890411,0.9178082191780822,0.10273972602739725,0.4554794520547945,0.0273972602739726,0.0547945205479452,0.3219178082191781,0.6986301369863014,0.07534246575342465,0.09246575342465757,0.1986301369863014,0.21575342465753425,0.04794520547945205,0.04794520547945205,0.2808219178082192,0.934931506849315,0.4965753424657534,0.5034246575342466,0.45890410958904104,0.5616438356164384,0.5034246575342466,0.10273972602739725,0.2808219178082192,0.5034246575342466,0.4589041095890411,0.1232876712328767,0.5034246575342466,0.3013698630136986,0.476027397260274,0.6232876712328768,0.9178082191780822,0.7191780821917808,0.660958904109589,0.07534246575342465,0.8904109589041096,0.7876712328767124,0.6301369863013698
5,Frengky Missa,22,BRI Liga 1 25-26,LB,Bhayangkara F.C.,Indonesia,0.2636986301369863,0.3972602739726027,0.5273972602739726,0.2534246575342466,0.4178082191780822,0.04794520547945205,0.3150684931506849,0.571917808219178,0.5958904109589042,0.2945205479452055,0.976027397260274,0.339041095890411,0.7705479452054794,0.476027397260274,0.2054794520547945,0.9383561643835616,1,0.958904109589041,0.2945205479452055,0.003424657534246589,0.297945205479452,0.15753424657534246,0.8835616438356164,0.1232876712328767,0.0547945205479452,0.8253424657534246,0.4965753424657534,0.5034246575342466,0.06849315068493156,0.0273972602739726,0.5034246575342466,0.3150684931506849,0.0547945205479452,0.5034246575342466,0.9726027397260274,0.3013698630136986,0.5034246575342466,0.02054794520547945,0.7876712328767124,0.4246575342465753,0.2671232876712329,0.6164383561643836,0.4828767123287671,0.3698630136986301,0.6883561643835616,0.23972602739726026,0.7534246575342466
6,R. Cahyana,22,BRI Liga 1 25-26,RB,PSIM Yogyakarta,Indonesia,0.5582191780821918,0.2876712328767123,0.791095890410959,0.8287671232876712,0.7294520547945206,0.1917808219178082,0.136986301369863,0.5342465753424658,0.4623287671232877,0.8116438356164384,0.339041095890411,0.726027397260274,0.0410958904109589,0.3595890410958904,0.1232876712328767,0.3047945205479452,0.273972602739726,0.3013698630136986,0.22602739726027396,0.6746575342465753,0.6917808219178082,0.3904109589041096,0.3801369863013699,0.1095890410958904,0.04794520547945205,0.726027397260274,0.4965753424657534,0.5034246575342466,0.4657534246575342,0.5342465753424658,0.5034246575342466,0.136986301369863,0.04794520547945205,0.5034246575342466,0.23972602739726026,0.2328767123287671,0.5034246575342466,0.14383561643835616,0.1780821917808219,0.23972602739726026,0.5684931506849316,0.4143835616438356,0.6198630136986302,0.08904109589041095,0.1404109589041096,0.5308219178082192,0.8493150684931506
7,R. Rakhmatzoda,22,BRI Liga 1 25-26,"LDMF, RDMF, RCMF",PSIM Yogyakarta,Tajikistan,0.6198630136986302,0.5205479452054794,0.2910958904109589,0.5205479452054794,0.3493150684931507,0.523972602739726,0.8493150684931506,0.8253424657534246,0.5958904109589042,0.2945205479452055,0.7568493150684932,0.958904109589041,0.22945205479452055,0.5376712328767124,0.2465753424657534,0.1095890410958904,0.1780821917808219,0.04452054794520548,0.589041095890411,0.29452054794520544,0.8938356164383562,0.5102739726027398,0.14383561643835616,0.25,0.4349315068493151,0.791095890410959,0.4965753424657534,0.5034246575342466,0.34246575342465757,0.9041095890410958,0.5034246575342466,0.8493150684931506,0.4349315068493151,0.5034246575342466,0.0273972602739726,0.8835616438356164,0.5034246575342466,0.7054794520547946,0.952054794520548,0.6815068493150684,0.2671232876712329,0.2842465753424658,0.19863013698630136,0.2808219178082192,0.4006849315068493,0.18493150684931506,0.4965753424657534
8,F. Ramadhan,22,BRI Liga 1 25-26,LB,Persijap,Indonesia,0.2636986301369863,0.3219178082191781,0.791095890410959,0.2534246575342466,0.6301369863013698,0.3835616438356164,0.13013698630136986,0.1815068493150685,0.11643835616438356,0.2945205479452055,0.339041095890411,0.339041095890411,0.0273972602739726,0.7534246575342466,0.6232876712328768,0.4657534246575342,0.5547945205479452,0.9041095890410958,0.6301369863013698,0.9794520547945206,0.8938356164383562,0.5102739726027398,0.2979452054794521,0.4931506849315068,0.00684931506849315,0.17465753424657535,0.4965753424657534,0.5034246575342466,0.17465753424657537,0.6643835616438356,0.5034246575342466,0.13013698630136986,0.00684931506849315,0.5034246575342466,0.8013698630136986,0.18493150684931506,0.5034246575342466,0.3424657534246575,0.6678082191780822,0.1780821917808219,0.976027397260274,0.11643835616438356,0.7876712328767124,0.1232876712328767,0.19863013698630136,0.2328767123287671,0.5547945205479452
9,A. Agung,22,BRI Liga 1 25-26,"RB, RB5",PSBS Biak Numfor,Indonesia,0.2636986301369863,0.1506849315068493,0.5513698630136986,0.2534246575342466,0.11643835616438356,0.19863013698630136,0.0273972602739726,0.2979452054794521,0.3082191780821918,0.8116438356164384,0.339041095890411,0.339041095890411,0.15753424657534246,0.2636986301369863,0.4623287671232877,0.15753424657534246,0.6095890410958904,0.7808219178082192,0.2876712328767123,0.6267123287671232,0.9863013698630136,0.023972602739726026,0.13013698630136986,0.3253424657534247,0.0410958904109589,0.5958904109589042,0.4965753424657534,0.5034246575342466,0.5547945205479452,0.2808219178082192,0.5034246575342466,0.0273972602739726,0.0410958904109589,0.5034246575342466,0.5616438356164384,0.06164383561643835,0.5034246575342466,0.15753424657534246,0.410958904109589,0.7431506849315068,0.2671232876712329,0.4383561643835616,0.523972602739726,0.1917808219178082,0.1541095890410959,0.136986301369863,0.8184931506849316
