,Player,Age,League,Position,Team,Birth country,Non-penalty goals per 90,npxG per 90,"Successful dribbles, %","Goal conversion, %",Touches in box per 90,"Accurate short / medium passes, %",Passes per 90,Shot assists per 90,xA per 90,Assists per 90,Second assists per 90,Third assists per 90,Progressive passes per 90,Progressive runs per 90,"Duels won, %",pAdj Tkl+Int per 90,Successful defensive actions per 90,PAdj Sliding tackles,"Defensive duels won, %",Fouls per 90,Cards per 90,Shots blocked per 90,PAdj Interceptions,"Aerial duels won, %","Accurate long passes, %","1st, 2nd, 3rd assists",Conceded goals per 90,Prevented goals per 90,Shots against per 90,"Save rate, %",Exits per 90,Passes,"Long Pass
Cmp %","% of Passes
Being Short","% of Passes
Being Lateral","Received
Passes",Goals prevented %,"Accurate passes, %",Shots per 90,"Accurate crosses, %",Smart passes per 90,xA per Shot Assist,Accelerations per 90,Aerial duels won per 90,Fouls suffered per 90,npxG per shot,Crosses per 90
0,M. Hidayat,20,BRI Liga 1 25-26,RB,PSM,Indonesia,0.8833333333333333,0.8833333333333333,0.26666666666666666,0.8666666666666667,0.7833333333333333,0.23333333333333334,0.06666666666666667,0.49166666666666664,0.6166666666666667,0.24166666666666667,0.8166666666666667,0.31666666666666665,0.26666666666666666,0.5,0.6666666666666666,0.75,0.6833333333333333,0.9166666666666666,0.9,0.775,0.5833333333333333,0.30833333333333335,0.6,0.11666666666666667,0.2,0.45,0.4916666666666667,0.5083333333333333,0.3916666666666667,0.26666666666666666,0.5083333333333333,0.06666666666666667,0.2,0.5083333333333333,0.36666666666666664,0.08333333333333333,0.5083333333333333,0.2,0.75,0.5583333333333333,0.25833333333333336,0.8666666666666667,0.10833333333333334,0.4666666666666667,0.25833333333333336,0.8166666666666667,0.43333333333333335
1,Muhammad Buffon,20,BRI Liga 1 25-26,RB,Borneo FC,Indonesia,0.325,0.08333333333333333,0.6,0.325,0.35,0.5416666666666666,0.7333333333333333,0.5416666666666666,0.5583333333333333,0.24166666666666667,0.2916666666666667,0.9,0.5833333333333334,0.24166666666666667,0.7833333333333333,0.45,0.525,0.7333333333333333,0.3333333333333333,0.8666666666666667,0.7166666666666667,0.75,0.38333333333333336,0.9333333333333333,0.21666666666666667,0.36666666666666664,0.4916666666666667,0.5083333333333333,0.5916666666666667,0.95,0.5083333333333333,0.7333333333333333,0.21666666666666667,0.5083333333333333,0.48333333333333334,0.75,0.5083333333333333,0.8,0.06666666666666667,0.9333333333333333,0.25833333333333336,0.6,0.25833333333333336,0.9,0.5583333333333333,0.09166666666666666,0.13333333333333333
2,Dony Pamungkas,21,BRI Liga 1 25-26,"LB, LWB",Persija,Indonesia,0.75,0.6,0.8166666666666667,0.8666666666666667,0.7166666666666667,1,0.9666666666666667,0.7166666666666667,0.7666666666666667,0.5666666666666667,0.8666666666666667,0.9583333333333334,0.30833333333333335,0.975,0.7333333333333333,0.55,0.26666666666666666,0.03333333333333333,0.7666666666666667,0.775,0.525,0.8083333333333333,0.6833333333333333,0.5333333333333333,0.95,0.8333333333333334,0.4916666666666667,0.5083333333333333,0.16666666666666663,0.9833333333333333,0.5083333333333333,0.9666666666666667,0.95,0.5083333333333333,0.4666666666666667,0.9833333333333333,0.5083333333333333,1,0.43333333333333335,0.5333333333333333,0.6083333333333333,0.8166666666666667,0.9166666666666666,0.7,0.49166666666666664,0.6333333333333333,0.8166666666666667
3,R. Cahyana,22,BRI Liga 1 25-26,RB,PSIM Yogyakarta,Indonesia,0.6833333333333333,0.43333333333333335,0.8416666666666667,0.95,0.6083333333333333,0.38333333333333336,0.23333333333333334,0.20833333333333334,0.19166666666666668,0.7083333333333334,0.2916666666666667,0.675,0.05,0.125,0.16666666666666666,0.38333333333333336,0.2,0.19166666666666668,0.26666666666666666,0.6416666666666666,0.6666666666666667,0.7,0.5083333333333333,0.15,0.1,0.6083333333333333,0.4916666666666667,0.5083333333333333,0.8166666666666667,0.8166666666666667,0.5083333333333333,0.23333333333333334,0.1,0.5083333333333333,0.13333333333333333,0.3,0.5083333333333333,0.3333333333333333,0.19166666666666668,0.08333333333333333,0.55,0.20833333333333334,0.4583333333333333,0.08333333333333333,0.058333333333333334,0.7666666666666667,0.6333333333333333
4,Ananda Raehan,22,BRI Liga 1 25-26,"RB, RCMF, RDMF",PSM,Indonesia,0.325,0.7833333333333333,0.10833333333333334,0.325,0.4666666666666667,0.4666666666666667,0.18333333333333332,0.8833333333333333,0.875,0.9333333333333333,0.2916666666666667,0.9,0.11666666666666667,0.2916666666666667,0.05,0.05,0.25,0.5666666666666667,0.08333333333333333,0.09999999999999998,0.18333333333333335,0.375,0.06666666666666667,0.06666666666666667,0.5,0.8916666666666667,0.4916666666666667,0.5083333333333333,0.8,0.8666666666666667,0.5083333333333333,0.18333333333333332,0.5,0.5083333333333333,0.3,0.2,0.5083333333333333,0.6166666666666667,0.49166666666666664,0.65,0.8916666666666667,0.6333333333333333,0.5416666666666666,0.06666666666666667,0.8666666666666667,0.9,0.15
5,Frengky Missa,22,BRI Liga 1 25-26,LB,Bhayangkara F.C.,Indonesia,0.325,0.5833333333333334,0.45,0.325,0.30833333333333335,0.1,0.4666666666666667,0.2916666666666667,0.325,0.24166666666666667,0.975,0.31666666666666665,0.775,0.325,0.25,0.95,1,0.9333333333333333,0.36666666666666664,0,0.30000000000000004,0.23333333333333334,0.9333333333333333,0.175,0.11666666666666667,0.7083333333333334,0.4916666666666667,0.5083333333333333,0.15000000000000002,0.06666666666666667,0.5083333333333333,0.4666666666666667,0.11666666666666667,0.5083333333333333,0.95,0.45,0.5083333333333333,0.05,0.7666666666666667,0.38333333333333336,0.25833333333333336,0.48333333333333334,0.25833333333333336,0.5333333333333333,0.6333333333333333,0.4166666666666667,0.4166666666666667
6,Muhammad Ferarri,22,BRI Liga 1 25-26,"RB, RCB",Bhayangkara F.C.,Indonesia,0.9583333333333334,0.8666666666666667,0.26666666666666666,0.9666666666666667,0.375,0.26666666666666666,0.5333333333333333,0.43333333333333335,0.325,0.24166666666666667,0.2916666666666667,0.31666666666666665,0.8666666666666667,0.2916666666666667,0.36666666666666664,0.675,0.7666666666666667,0.8833333333333333,0.4166666666666667,0.01666666666666672,0.15833333333333333,0.4666666666666667,0.5083333333333333,0.30833333333333335,0.35,0.13333333333333333,0.4916666666666667,0.5083333333333333,0.9166666666666666,0.65,0.5083333333333333,0.5333333333333333,0.35,0.5083333333333333,0.75,0.26666666666666666,0.5083333333333333,0.43333333333333335,0.6166666666666667,1,0.25833333333333336,0.2833333333333333,0.4583333333333333,0.6,0.7666666666666667,0.9333333333333333,0.016666666666666666
7,A. Agung,22,BRI Liga 1 25-26,"RB, RB5",PSBS Biak Numfor,Indonesia,0.325,0.23333333333333334,0.48333333333333334,0.325,0.13333333333333333,0.4,0.05,0.10833333333333334,0.1,0.7083333333333334,0.2916666666666667,0.31666666666666665,0.16666666666666666,0.08333333333333333,0.5916666666666667,0.23333333333333334,0.5666666666666667,0.7166666666666667,0.35,0.5833333333333333,0.975,0.041666666666666664,0.18333333333333332,0.48333333333333334,0.08333333333333333,0.45,0.4916666666666667,0.5083333333333333,0.8833333333333333,0.43333333333333335,0.5083333333333333,0.05,0.08333333333333333,0.5083333333333333,0.4,0.1,0.5083333333333333,0.36666666666666664,0.4083333333333333,0.8416666666666667,0.25833333333333336,0.25,0.31666666666666665,0.25,0.09166666666666666,0.25,0.5583333333333333
8,R. Sanjaya,22,BRI Liga 1 25-26,"LB, RB, RB5",Persik Kediri,Indonesia,0.9333333333333333,0.85,0.625,0.8333333333333334,0.6666666666666666,0.3,0.31666666666666665,0.5416666666666666,0.4583333333333333,0.24166666666666667,0.9,0.31666666666666665,0.08333333333333333,0.8,0.43333333333333335,1,0.9,0.8583333333333333,0.5166666666666667,0.4083333333333333,0.2416666666666667,0.041666666666666664,1,0.30833333333333335,0.4,0.5833333333333334,0.4916666666666667,0.5083333333333333,0.033333333333333326,0.6166666666666667,0.5083333333333333,0.31666666666666665,0.4,0.5083333333333333,0.2833333333333333,0.31666666666666665,0.5083333333333333,0.2833333333333333,0.8666666666666667,0.16666666666666666,0.25833333333333336,0.38333333333333336,0.8666666666666667,0.55,1,0.6833333333333333,0.8833333333333333
9,F. Ramadhan,22,BRI Liga 1 25-26,LB,Persijap,Indonesia,0.325,0.5,0.8416666666666667,0.325,0.5083333333333333,0.7666666666666667,0.21666666666666667,0.08333333333333333,0.041666666666666664,0.24166666666666667,0.2916666666666667,0.31666666666666665,0.03333333333333333,0.65,0.8,0.5166666666666667,0.5,0.8166666666666667,0.75,0.9833333333333333,0.8583333333333334,0.8333333333333334,0.4083333333333333,0.65,0.016666666666666666,0.13333333333333333,0.4916666666666667,0.5083333333333333,0.3916666666666667,0.9,0.5083333333333333,0.21666666666666667,0.016666666666666666,0.5083333333333333,0.6666666666666666,0.25,0.5083333333333333,0.7166666666666667,0.6583333333333333,0.03333333333333333,0.975,0.041666666666666664,0.6833333333333333,0.13333333333333333,0.13333333333333333,0.4,0.06666666666666667
