,Player,Age,League,Position,Team,Birth country,Non-penalty goals per 90,npxG per 90,"Successful dribbles, %","Goal conversion, %",Touches in box per 90,"Accurate short / medium passes, %",Passes per 90,Shot assists per 90,xA per 90,Assists per 90,Second assists per 90,Third assists per 90,Progressive passes per 90,Progressive runs per 90,"Duels won, %",pAdj Tkl+Int per 90,Successful defensive actions per 90,PAdj Sliding tackles,"Defensive duels won, %",Fouls per 90,Cards per 90,Shots blocked per 90,PAdj Interceptions,"Aerial duels won, %","Accurate long passes, %","1st, 2nd, 3rd assists",Conceded goals per 90,Prevented goals per 90,Shots against per 90,"Save rate, %",Exits per 90,Passes,"Long Pass
Cmp %","% of Passes
Being Short","% of Passes
Being Lateral","Received
Passes",Goals prevented %,"Accurate passes, %",Shots per 90,"Accurate crosses, %",Smart passes per 90,xA per Shot Assist,Accelerations per 90,Aerial duels won per 90,Fouls suffered per 90,npxG per shot,Crosses per 90
0,Hokky Caraka,21,BRI Liga 1 25-26,"RAMF, RWF, RW",Persita,Indonesia,0.46078431372549017,0.5882352941176471,0.4019607843137255,0.5049019607843137,0.3333333333333333,0.17647058823529413,0.2647058823529412,0.058823529411764705,0.11274509803921569,0.2107843137254902,0.23529411764705882,0.37745098039215685,0.28431372549019607,0.5245098039215687,0.4803921568627451,0.28921568627450983,0.7941176470588235,0.25980392156862747,0.28431372549019607,0.05882352941176472,0.07843137254901966,0.7745098039215687,0.3627450980392157,0.7156862745098039,0.10784313725490197,0.14705882352941177,0.4950980392156863,0.5049019607843137,0.46568627450980393,0.2549019607843137,0.5049019607843137,0.2647058823529412,0.10784313725490197,0.5049019607843137,0.8235294117647058,0.2549019607843137,0.5049019607843137,0.09803921568627451,0.20588235294117646,0.45588235294117646,0.09313725490196079,0.28921568627450983,0.5392156862745098,0.6764705882352942,0.09313725490196079,0.8529411764705882,0.5245098039215687
1,Gali Freitas,21,BRI Liga 1 25-26,"RAMF, RW, RWF",Persebaya Surabaya,Timor-Leste,0.6764705882352942,0.7352941176470589,0.6274509803921569,0.5637254901960784,0.553921568627451,0.28431372549019607,0.6274509803921569,0.5441176470588235,0.5686274509803921,0.9068627450980392,0.23529411764705882,0.9362745098039216,0.6764705882352942,0.9117647058823529,0.8921568627450981,0.5196078431372549,0.9215686274509803,0.4068627450980392,0.9411764705882353,0.5196078431372548,0.2598039215686274,0.5980392156862745,0.6078431372549019,0.2107843137254902,0.4117647058823529,0.8725490196078431,0.4950980392156863,0.5049019607843137,0.17156862745098034,0.2647058823529412,0.5049019607843137,0.6274509803921569,0.4117647058823529,0.5049019607843137,0.8627450980392157,0.5686274509803921,0.5049019607843137,0.29411764705882354,0.5637254901960784,0.21568627450980393,0.4215686274509804,0.6617647058823529,0.8823529411764706,0.18627450980392157,0.44607843137254904,0.6862745098039216,0.3235294117647059
2,R. Saepul,21,BRI Liga 1 25-26,"RW, RAMF, RWF",Persijap,Indonesia,0.19117647058823528,0.18627450980392157,0.9313725490196079,0.6225490196078431,0.20588235294117646,0.6470588235294118,0.3333333333333333,0.17647058823529413,0.06372549019607843,0.08823529411764706,0.23529411764705882,0.37745098039215685,0.3137254901960784,0.20588235294117646,0.6176470588235294,0.5049019607843137,0.9019607843137255,0.4068627450980392,0.4117647058823529,0.4411764705882353,0.7058823529411764,0.8872549019607843,0.5931372549019608,0.31862745098039214,0.014705882352941176,0.06372549019607843,0.4950980392156863,0.5049019607843137,0.7156862745098039,0.696078431372549,0.5049019607843137,0.3333333333333333,0.014705882352941176,0.5049019607843137,0.7254901960784313,0.3137254901960784,0.5049019607843137,0.5392156862745098,0.00980392156862745,0.39705882352941174,0.4215686274509804,0.058823529411764705,0.22058823529411764,0.30392156862745096,0.8774509803921569,0.9411764705882353,0.43137254901960786
3,V. Dethan,21,BRI Liga 1 25-26,"RW, RAMF, RWF",PSM,Indonesia,0.3480392156862745,0.19607843137254902,0.9215686274509803,0.47058823529411764,0.21568627450980393,0.22058823529411764,0.5,0.5147058823529411,0.4411764705882353,0.4117647058823529,0.696078431372549,0.8921568627450981,0.7647058823529411,0.696078431372549,0.9509803921568627,0.9607843137254902,0.9117647058823529,0.11764705882352941,0.9607843137254902,0.9166666666666666,0.803921568627451,0.5,0.9803921568627451,0.12745098039215685,0.0392156862745098,0.6715686274509803,0.4950980392156863,0.5049019607843137,0.4950980392156863,0.1568627450980392,0.5049019607843137,0.5,0.0392156862745098,0.5049019607843137,0.8529411764705882,0.49019607843137253,0.5049019607843137,0.058823529411764705,0.12745098039215685,0.2647058823529412,0.5392156862745098,0.38235294117647056,0.6764705882352942,0.11764705882352941,0.0784313725490196,0.4019607843137255,0.9313725490196079
4,Rahmat Arjuna,22,BRI Liga 1 25-26,"LW, LAMF, LWF",Bali United,Indonesia,0.04411764705882353,0.11764705882352941,0.7450980392156863,0.0392156862745098,0.46078431372549017,0.7892156862745098,0.5098039215686274,0.6862745098039216,0.8774509803921569,0.6372549019607843,0.5784313725490197,0.37745098039215685,0.4411764705882353,0.9803921568627451,0.7745098039215687,0.6078431372549019,0.6274509803921569,0.9313725490196079,0.2647058823529412,0.38235294117647056,0.37254901960784315,0.12254901960784313,0.45098039215686275,0.08823529411764706,0.3627450980392157,0.6127450980392157,0.4950980392156863,0.5049019607843137,0.039215686274509776,0.6666666666666666,0.5049019607843137,0.5098039215686274,0.3627450980392157,0.5049019607843137,0.21568627450980393,0.5098039215686274,0.5049019607843137,0.7941176470588235,0.1568627450980392,0.5588235294117647,0.7450980392156863,0.9117647058823529,0.8676470588235294,0.06862745098039216,0.8333333333333334,0.24509803921568626,0.6666666666666666
5,Muhammad Hannan,22,BRI Liga 1 25-26,"AMF, CF, LWF",Persija,Indonesia,0.6225490196078431,0.4117647058823529,0.9901960784313726,0.5490196078431373,0.49019607843137253,0.9705882352941176,0.8725490196078431,0.6666666666666666,0.5392156862745098,0.4411764705882353,1,0.37745098039215685,0.5784313725490197,0.5245098039215687,1,0.9901960784313726,0.9901960784313726,0.9901960784313726,0.9803921568627451,0.3382352941176471,0.7598039215686274,0.5392156862745098,0.9607843137254902,0.03431372549019608,0.45098039215686275,0.8431372549019608,0.4950980392156863,0.5049019607843137,0.42156862745098034,0.5980392156862745,0.5049019607843137,0.8725490196078431,0.45098039215686275,0.5049019607843137,0.23529411764705882,0.8921568627450981,0.5049019607843137,0.9411764705882353,0.4803921568627451,0.4166666666666667,0.7598039215686274,0.3431372549019608,0.38235294117647056,0.0392156862745098,0.1568627450980392,0.43137254901960786,0.6764705882352942
6,F.Juliansyah,22,BRI Liga 1 25-26,"LAMF, LW, LWF",Semen Padang,Indonesia,0.04411764705882353,0.049019607843137254,0.4411764705882353,0.0392156862745098,0.16666666666666666,0.6666666666666666,0.47058823529411764,0.5735294117647058,0.8431372549019608,0.08823529411764706,0.23529411764705882,0.37745098039215685,0.6372549019607843,0.25980392156862747,0.46078431372549017,0.553921568627451,0.7352941176470589,0.75,0.5343137254901961,0.3382352941176471,0.46568627450980393,0.4117647058823529,0.5196078431372549,0.45098039215686275,0.0784313725490196,0.06372549019607843,0.4950980392156863,0.5049019607843137,0.32352941176470584,0.27450980392156865,0.5049019607843137,0.47058823529411764,0.0784313725490196,0.5049019607843137,0.5490196078431373,0.4019607843137255,0.5049019607843137,0.5,0.21568627450980393,0.8921568627450981,0.7254901960784313,0.9411764705882353,0.27450980392156865,0.43137254901960786,0.6323529411764706,0.0392156862745098,0.8431372549019608
7,F. Nimo Olepue,23,BRI Liga 1 25-26,"RW, RWF, RAMF",Madura United,Indonesia,0.11764705882352941,0.12745098039215685,0.5980392156862745,0.29411764705882354,0.2549019607843137,0.803921568627451,0.7156862745098039,0.4803921568627451,0.7107843137254902,0.9607843137254902,0.6323529411764706,0.37745098039215685,0.6176470588235294,0.7941176470588235,0.9313725490196079,0.696078431372549,0.9607843137254902,0.5980392156862745,0.7843137254901961,0.7941176470588236,0.9803921568627451,0.9215686274509803,0.7254901960784313,0.19607843137254902,0.13725490196078433,0.8921568627450981,0.4950980392156863,0.5049019607843137,0.33333333333333337,0.3431372549019608,0.5049019607843137,0.7156862745098039,0.13725490196078433,0.5049019607843137,0.7941176470588235,0.6078431372549019,0.5049019607843137,0.6470588235294118,0.0196078431372549,0.39705882352941174,0.5147058823529411,0.8921568627450981,0.7058823529411765,0.21568627450980393,0.803921568627451,0.6470588235294118,0.8872549019607843
8,D. Kurniawan,23,BRI Liga 1 25-26,"RW, CF, RAMF",Persijap,Indonesia,0.4068627450980392,0.2647058823529412,0.2647058823529412,0.27450980392156865,0.029411764705882353,0.9019607843137255,0.7647058823529411,0.5441176470588235,0.6225490196078431,0.9705882352941176,0.7598039215686274,0.37745098039215685,0.6470588235294118,0.8480392156862745,0.5784313725490197,0.9117647058823529,0.9411764705882353,0.4068627450980392,0.7156862745098039,0.20588235294117652,0.039215686274509776,0.8480392156862745,0.9362745098039216,0.10294117647058823,0.7058823529411765,0.9215686274509803,0.4950980392156863,0.5049019607843137,0.6764705882352942,0.6568627450980392,0.5049019607843137,0.7647058823529411,0.7058823529411765,0.5049019607843137,0.4803921568627451,0.8235294117647058,0.5049019607843137,0.9117647058823529,0.6176470588235294,0.30392156862745096,0.5735294117647058,0.7843137254901961,0.9607843137254902,0.14705882352941177,0.4019607843137255,0.0784313725490196,0.14705882352941177
9,B. Putra,24,BRI Liga 1 25-26,"LAMF, LWF",Persib,Indonesia,0.4068627450980392,0.21568627450980393,0.7254901960784313,0.3627450980392157,0.4019607843137255,0.8529411764705882,0.8627450980392157,0.8529411764705882,0.8186274509803921,0.696078431372549,0.8627450980392157,0.37745098039215685,0.8627450980392157,0.9313725490196079,0.7647058823529411,0.9215686274509803,0.7254901960784313,1,0.17647058823529413,0.2647058823529411,0.18137254901960786,0.12254901960784313,0.7058823529411765,0.14705882352941177,0.8725490196078431,0.7401960784313726,0.4950980392156863,0.5049019607843137,0.019607843137254943,0.16666666666666666,0.5049019607843137,0.8627450980392157,0.8725490196078431,0.5049019607843137,0.10784313725490197,0.8333333333333334,0.5049019607843137,0.7352941176470589,0.2549019607843137,0.7549019607843137,0.23529411764705882,0.49019607843137253,0.9509803921568627,0.10784313725490197,0.8235294117647058,0.2647058823529412,0.9607843137254902
10,W. Sulaeman,24,BRI Liga 1 25-26,"RW, RAMF, LWF",Persija,Indonesia,0.19117647058823528,0.4803921568627451,0.5,0.23529411764705882,0.2696078431372549,0.8627450980392157,0.9019607843137255,0.7647058823529411,0.8186274509803921,0.9313725490196079,0.8088235294117647,0.9362745098039216,0.5392156862745098,0.3088235294117647,0.6372549019607843,0.8431372549019608,0.5686274509803921,0.9803921568627451,0.8774509803921569,0.857843137254902,0.7058823529411764,0.12254901960784313,0.6617647058823529,0.03431372549019608,0.20588235294117646,0.9607843137254902,0.4950980392156863,0.5049019607843137,0.6470588235294117,0.8921568627450981,0.5049019607843137,0.9019607843137255,0.20588235294117646,0.5049019607843137,0.4215686274509804,0.9215686274509803,0.5049019607843137,0.9313725490196079,0.19607843137254902,0.7009803921568627,0.9607843137254902,0.696078431372549,0.5490196078431373,0.049019607843137254,0.6078431372549019,0.6372549019607843,0.4215686274509804
11,T. Yachida,24,BRI Liga 1 25-26,"AMF, CF, RCMF3",Bali United,Japan,0.7794117647058824,0.8137254901960784,0.7941176470588235,0.5049019607843137,0.9705882352941176,0.2647058823529412,0.5588235294117647,0.9117647058823529,0.9166666666666666,0.8872549019607843,0.9166666666666666,0.8529411764705882,0.7549019607843137,0.4803921568627451,0.7549019607843137,0.2696078431372549,0.24509803921568626,0.75,0.8774509803921569,0.8725490196078431,0.8774509803921569,0.4117647058823529,0.18627450980392157,0.31862745098039214,0.3333333333333333,0.9509803921568627,0.4950980392156863,0.5049019607843137,0.4019607843137255,0.6078431372549019,0.5049019607843137,0.5588235294117647,0.3333333333333333,0.5049019607843137,0.9803921568627451,0.5588235294117647,0.5049019607843137,0.37254901960784315,0.9264705882352942,0.5,0.8921568627450981,0.7941176470588235,0.15196078431372548,0.20588235294117646,0.13725490196078433,0.5588235294117647,0.6225490196078431
12,E. Maulana Vikri,25,BRI Liga 1 25-26,"RWF, RAMF, RW",Dewa United,Indonesia,0.04411764705882353,0.4411764705882353,1,0.0392156862745098,0.9803921568627451,0.7745098039215687,0.9803921568627451,0.8627450980392157,0.7107843137254902,0.3382352941176471,0.6323529411764706,0.8529411764705882,0.9019607843137255,0.6274509803921569,0.9803921568627451,0.23039215686274508,0.5147058823529411,0.11764705882352941,0.8333333333333334,0.4607843137254902,0.46568627450980393,0.4117647058823529,0.29411764705882354,0.00980392156862745,0.6666666666666666,0.5686274509803921,0.4950980392156863,0.5049019607843137,0.3529411764705882,0.6274509803921569,0.5049019607843137,0.9803921568627451,0.6666666666666666,0.5049019607843137,0.7352941176470589,0.9803921568627451,0.5049019607843137,0.8235294117647058,0.6323529411764706,0.5588235294117647,0.5931372549019608,0.27450980392156865,0.29411764705882354,0.0196078431372549,0.47549019607843135,0.3627450980392157,0.6862745098039216
13,Savio Sheva,25,BRI Liga 1 25-26,"AMF, DMF, RDMF",PSIM Yogyakarta,Indonesia,0.4362745098039216,0.1568627450980392,0.18137254901960784,0.2549019607843137,0.13725490196078433,1,0.7352941176470589,0.6372549019607843,0.4411764705882353,0.3382352941176471,0.23529411764705882,0.37745098039215685,0.3333333333333333,0.058823529411764705,0.6764705882352942,0.9019607843137255,0.6764705882352942,0.7794117647058824,0.5490196078431373,0.8186274509803921,0.3088235294117647,0.4117647058823529,0.9019607843137255,0.11764705882352941,0.7598039215686274,0.19607843137254902,0.4950980392156863,0.5049019607843137,0.892156862745098,0.8333333333333334,0.5049019607843137,0.7352941176470589,0.7598039215686274,0.5049019607843137,0.08823529411764706,0.7647058823529411,0.5049019607843137,1,0.7696078431372549,0.9901960784313726,0.09313725490196079,0.19607843137254902,0.05392156862745098,0.19607843137254902,0.8431372549019608,0.0196078431372549,0.11764705882352941
14,F.  Sudin,25,BRI Liga 1 25-26,"AMF, CF, LCMF3",PSIM Yogyakarta,Indonesia,0.24019607843137256,0.5784313725490197,0.30392156862745096,0.16666666666666666,0.8333333333333334,0.6764705882352942,0.5392156862745098,0.5294117647058824,0.16666666666666666,0.5441176470588235,0.8970588235294118,0.37745098039215685,0.3431372549019608,0.5098039215686274,0.18627450980392157,0.39215686274509803,0.47058823529411764,0.7647058823529411,0.16666666666666666,0.32352941176470584,0.2598039215686274,0.4117647058823529,0.28431372549019607,0.18627450980392157,0.16176470588235295,0.6911764705882353,0.4950980392156863,0.5049019607843137,0.5392156862745099,0.8235294117647058,0.5049019607843137,0.5392156862745098,0.16176470588235295,0.5049019607843137,0.8431372549019608,0.6372549019607843,0.5049019607843137,0.7843137254901961,0.5980392156862745,0.8627450980392157,0.5931372549019608,0.06862745098039216,0.38235294117647056,0.3431372549019608,0.7058823529411765,0.5196078431372549,0.2549019607843137
15,J. Villa,26,BRI Liga 1 25-26,"AMF, RCMF3, RWF",Borneo FC,Colombia,0.9019607843137255,0.45098039215686275,0.46078431372549017,0.7745098039215687,0.23039215686274508,0.9117647058823529,1,0.9019607843137255,0.9166666666666666,0.7794117647058824,0.6323529411764706,0.37745098039215685,1,0.9215686274509803,0.7843137254901961,0.6176470588235294,0.8921568627450981,0.8284313725490197,0.9313725490196079,0.8333333333333334,0.5833333333333333,0.25980392156862747,0.5588235294117647,0.6029411764705882,0.7941176470588235,0.7254901960784313,0.4950980392156863,0.5049019607843137,0.13725490196078427,0.18627450980392157,0.5049019607843137,1,0.7941176470588235,0.5049019607843137,0.8137254901960784,1,0.5049019607843137,0.8137254901960784,0.8382352941176471,0.43137254901960786,0.9215686274509803,0.8137254901960784,0.5686274509803921,0.2647058823529412,0.7156862745098039,0.22549019607843138,0.5588235294117647
16,K. Tanaka,26,BRI Liga 1 25-26,CF,Dewa United,Japan,0.7058823529411765,0.696078431372549,0.13725490196078433,0.8137254901960784,0.6176470588235294,0.46078431372549017,0.17647058823529413,0.1568627450980392,0.3088235294117647,0.2549019607843137,0.23529411764705882,0.9362745098039216,0.27450980392156865,0.23529411764705882,0.5196078431372549,0.28921568627450983,0.3137254901960784,0.11764705882352941,0.8235294117647058,0.9509803921568627,0.7058823529411764,0.3382352941176471,0.37745098039215685,0.6372549019607843,0.4362745098039216,0.4068627450980392,0.4950980392156863,0.5049019607843137,0.7745098039215687,0.3333333333333333,0.5049019607843137,0.17647058823529413,0.4362745098039216,0.5049019607843137,0.46078431372549017,0.18627450980392157,0.5049019607843137,0.4019607843137255,0.47058823529411764,0.6862745098039216,0.4215686274509804,0.7352941176470589,0.4068627450980392,0.7941176470588235,0.5931372549019608,0.7352941176470589,0.5245098039215687
