,Player,Age,League,Position,Team,Birth country,Non-penalty goals per 90,npxG per 90,"Successful dribbles, %","Goal conversion, %",Touches in box per 90,"Accurate short / medium passes, %",Passes per 90,Shot assists per 90,xA per 90,Assists per 90,Second assists per 90,Third assists per 90,Progressive passes per 90,Progressive runs per 90,"Duels won, %",pAdj Tkl+Int per 90,Successful defensive actions per 90,PAdj Sliding tackles,"Defensive duels won, %",Fouls per 90,Cards per 90,Shots blocked per 90,PAdj Interceptions,"Aerial duels won, %","Accurate long passes, %","1st, 2nd, 3rd assists",Conceded goals per 90,Prevented goals per 90,Shots against per 90,"Save rate, %",Exits per 90,Passes,"Long Pass
Cmp %","% of Passes
Being Short","% of Passes
Being Lateral","Received
Passes",Goals prevented %,"Accurate passes, %",Shots per 90,"Accurate crosses, %",Smart passes per 90,xA per Shot Assist,Accelerations per 90,Aerial duels won per 90,Fouls suffered per 90,npxG per shot,Crosses per 90
0,T. Firmansyah,21,BRI Liga 1 25-26,"LCMF, RCMF, LDMF",Persebaya Surabaya,Indonesia,0.13114754098360656,0.08196721311475409,0.9836065573770492,0.12295081967213115,0.11475409836065574,0.6229508196721312,0.21311475409836064,0.19672131147540983,0.1885245901639344,0.3442622950819672,0.22950819672131148,0.680327868852459,0.16393442622950818,0.2540983606557377,0.36065573770491804,0.9344262295081968,0.9016393442622951,1,0.21311475409836064,0.0901639344262295,0.049180327868852514,0.9836065573770492,0.7786885245901639,0.18032786885245902,0.22950819672131148,0.30327868852459017,0.4918032786885246,0.5081967213114754,0.5491803278688525,0.6721311475409836,0.5081967213114754,0.21311475409836064,0.22950819672131148,0.5081967213114754,0.19672131147540983,0.13114754098360656,0.5081967213114754,0.6065573770491803,0.22950819672131148,0.11475409836065574,0.11475409836065574,0.28688524590163933,0.4262295081967213,0.4426229508196721,0.5901639344262295,0.04918032786885246,0.39344262295081966
1,Arkhan Fikri,21,BRI Liga 1 25-26,"LCMF, LCMF3, LDMF",Arema,Indonesia,0.5983606557377049,0.5901639344262295,0.23770491803278687,0.6885245901639344,0.5245901639344263,0.639344262295082,0.8360655737704918,0.7704918032786885,0.7131147540983607,0.3442622950819672,0.22950819672131148,0.9508196721311475,0.45901639344262296,0.6885245901639344,0.8688524590163934,0.26229508196721313,0.32786885245901637,0.9344262295081968,0.8852459016393442,0.9672131147540983,0.7377049180327868,0.29508196721311475,0.13934426229508196,0.36065573770491804,0.5737704918032787,0.6885245901639344,0.4918032786885246,0.5081967213114754,0.39344262295081966,0.7868852459016393,0.5081967213114754,0.8360655737704918,0.5737704918032787,0.5081967213114754,0.7213114754098361,0.8688524590163934,0.5081967213114754,0.6885245901639344,0.4016393442622951,0.7704918032786885,0.8934426229508197,0.5737704918032787,0.8524590163934426,0.2459016393442623,0.7540983606557377,0.7704918032786885,0.6065573770491803
2,Zanadin Fariz,21,BRI Liga 1 25-26,"LCMF, LCMF3, LDMF",Persis Solo,Indonesia,0.3442622950819672,0.29508196721311475,0.9344262295081968,0.36065573770491804,0.3770491803278688,0.36065573770491804,0.5901639344262295,0.7295081967213115,0.5573770491803278,0.639344262295082,0.8032786885245902,0.30327868852459017,0.639344262295082,0.7540983606557377,1,0.4426229508196721,0.4016393442622951,0.48360655737704916,0.4262295081967213,0.9836065573770492,0.6721311475409837,0.6229508196721312,0.47540983606557374,0.6557377049180327,0.16393442622950818,0.6475409836065574,0.4918032786885246,0.5081967213114754,0.21311475409836067,0.7704918032786885,0.5081967213114754,0.5901639344262295,0.16393442622950818,0.5081967213114754,0.7868852459016393,0.6229508196721312,0.5081967213114754,0.45901639344262296,0.3442622950819672,0.639344262295082,0.6311475409836066,0.4262295081967213,0.8770491803278688,0.47540983606557374,1,0.29508196721311475,0.6311475409836066
3,Y. Putra,22,BRI Liga 1 25-26,"LCMF, LDMF, DMF",PSBS Biak Numfor,Indonesia,0.5,0.36065573770491804,0.7540983606557377,0.4672131147540984,0.3360655737704918,0.47540983606557374,0.6229508196721312,0.3360655737704918,0.1885245901639344,0.5737704918032787,0.22950819672131148,0.680327868852459,0.39344262295081966,0.8032786885245902,0.5901639344262295,0.5901639344262295,0.8032786885245902,0.39344262295081966,0.6557377049180327,0.819672131147541,0.8360655737704918,0.6475409836065574,0.6229508196721312,0.30327868852459017,0.11475409836065574,0.4426229508196721,0.4918032786885246,0.5081967213114754,0.3114754098360656,0.9180327868852459,0.5081967213114754,0.6229508196721312,0.11475409836065574,0.5081967213114754,0.14754098360655737,0.5573770491803278,0.5081967213114754,0.639344262295082,0.5409836065573771,0.4180327868852459,0.4098360655737705,0.11475409836065574,0.8360655737704918,0.3114754098360656,0.8032786885245902,0.2459016393442623,0.16393442622950818
4,R. Rakhmatzoda,22,BRI Liga 1 25-26,"LDMF, RDMF, RCMF",PSIM Yogyakarta,Tajikistan,0.3442622950819672,0.26229508196721313,0.16393442622950818,0.26229508196721313,0.19672131147540983,0.7540983606557377,0.8688524590163934,0.45901639344262296,0.2540983606557377,0.13114754098360656,0.5573770491803278,0.860655737704918,0.5573770491803278,0.4098360655737705,0.5573770491803278,0.5081967213114754,0.4918032786885246,0.08196721311475409,0.819672131147541,0.48360655737704916,0.7704918032786885,0.7950819672131147,0.5737704918032787,0.45901639344262296,0.4344262295081967,0.5,0.4918032786885246,0.5081967213114754,0.7213114754098361,0.7540983606557377,0.5081967213114754,0.8688524590163934,0.4344262295081967,0.5081967213114754,0.06557377049180328,0.8852459016393442,0.5081967213114754,0.7540983606557377,0.6557377049180327,0.639344262295082,0.11475409836065574,0.14754098360655737,0.16393442622950818,0.5901639344262295,0.08196721311475409,0.09836065573770492,0.3114754098360656
5,Muhammad Hannan,22,BRI Liga 1 25-26,"AMF, CF, LWF",Persija,Indonesia,0.9344262295081968,0.8852459016393442,0.9180327868852459,0.8032786885245902,0.9344262295081968,0.7377049180327869,0.4918032786885246,0.8032786885245902,0.7622950819672131,0.639344262295082,1,0.30327868852459017,0.13114754098360656,0.7213114754098361,0.9016393442622951,0.7049180327868853,0.6639344262295082,0.9180327868852459,1,0.4426229508196722,0.7704918032786885,0.22131147540983606,0.6065573770491803,0.01639344262295082,0.26229508196721313,0.9508196721311475,0.4918032786885246,0.5081967213114754,0.1311475409836066,0.32786885245901637,0.5081967213114754,0.4918032786885246,0.26229508196721313,0.5081967213114754,0.11475409836065574,0.6557377049180327,0.5081967213114754,0.47540983606557374,0.819672131147541,0.3442622950819672,0.819672131147541,0.5409836065573771,0.639344262295082,0.03278688524590164,0.26229508196721313,0.819672131147541,0.9836065573770492
6,Rivaldo Pakpahan,23,BRI Liga 1 25-26,"DMF, RDMF, LDMF",Borneo FC,Indonesia,0.13114754098360656,0.01639344262295082,0.8688524590163934,0.12295081967213115,0.03278688524590164,0.9672131147540983,0.7868852459016393,0.01639344262295082,0.040983606557377046,0.3442622950819672,0.22950819672131148,0.860655737704918,0.22950819672131148,0.14754098360655737,0.9836065573770492,0.8852459016393442,0.8852459016393442,0.39344262295081966,0.7868852459016393,0.30327868852459017,0.6311475409836065,0.9016393442622951,0.9016393442622951,0.7704918032786885,0.5901639344262295,0.5,0.4918032786885246,0.5081967213114754,0.9016393442622951,0.9508196721311475,0.5081967213114754,0.7868852459016393,0.5901639344262295,0.5081967213114754,0.01639344262295082,0.7704918032786885,0.5081967213114754,0.9836065573770492,0.03278688524590164,0.040983606557377046,0.29508196721311475,0.040983606557377046,0.16393442622950818,0.5737704918032787,0.5081967213114754,0.03278688524590164,0.01639344262295082
7,Eduardo Barbosa,23,BRI Liga 1 25-26,"RCMF, RDMF, LCMF",PSBS Biak Numfor,Portugal,0.5,0.4098360655737705,0.7049180327868853,0.39344262295081966,0.5901639344262295,0.5983606557377049,0.4262295081967213,0.21311475409836064,0.3442622950819672,0.2786885245901639,0.7377049180327869,0.6229508196721312,0.29508196721311475,0.8688524590163934,0.13114754098360656,0.3114754098360656,0.26229508196721313,0.14754098360655737,0.18032786885245902,0.6311475409836065,0.8360655737704918,0.8852459016393442,0.3770491803278688,0.2786885245901639,0.7704918032786885,0.5573770491803278,0.4918032786885246,0.5081967213114754,0.14754098360655743,0.16393442622950818,0.5081967213114754,0.4262295081967213,0.7704918032786885,0.5081967213114754,0.21311475409836064,0.4262295081967213,0.5081967213114754,0.5081967213114754,0.5901639344262295,0.5573770491803278,0.11475409836065574,0.7540983606557377,0.9836065573770492,0.3770491803278688,0.1885245901639344,0.2786885245901639,0.7377049180327869
8,T. Yachida,24,BRI Liga 1 25-26,"AMF, CF, RCMF3",Bali United,Japan,0.9672131147540983,1,0.7377049180327869,0.7540983606557377,1,0.06557377049180328,0.09836065573770492,0.9426229508196722,0.9754098360655737,0.9836065573770492,0.9262295081967213,0.7950819672131147,0.3770491803278688,0.6721311475409836,0.26229508196721313,0.04918032786885246,0.01639344262295082,0.36065573770491804,0.8524590163934426,0.9180327868852459,0.9098360655737705,0.14754098360655737,0.03278688524590164,0.14754098360655737,0.14754098360655737,0.9836065573770492,0.4918032786885246,0.5081967213114754,0.09836065573770492,0.3770491803278688,0.5081967213114754,0.09836065573770492,0.14754098360655737,0.5081967213114754,0.9836065573770492,0.14754098360655737,0.5081967213114754,0.06557377049180328,0.9836065573770492,0.39344262295081966,0.8934426229508197,0.8524590163934426,0.3770491803278688,0.22950819672131148,0.16393442622950818,0.9344262295081968,0.9344262295081968
9,T. Muslihuddin,24,BRI Liga 1 25-26,"LCMF3, AMF",Madura United,Indonesia,0.8114754098360656,0.8524590163934426,0.29508196721311475,0.6557377049180327,0.8852459016393442,0.11475409836065574,0.6557377049180327,0.7049180327868853,0.5573770491803278,0.13114754098360656,0.8032786885245902,0.30327868852459017,0.5819672131147541,0.45901639344262296,0.18032786885245902,0.5245901639344263,0.5573770491803278,0.9672131147540983,0.5409836065573771,0.6311475409836065,0.7704918032786885,0.5901639344262295,0.30327868852459017,0.5409836065573771,0.47540983606557374,0.30327868852459017,0.4918032786885246,0.5081967213114754,0.2622950819672131,0.5245901639344263,0.5081967213114754,0.6557377049180327,0.47540983606557374,0.5081967213114754,0.5409836065573771,0.45901639344262296,0.5081967213114754,0.16393442622950818,0.6885245901639344,0.6721311475409836,0.11475409836065574,0.47540983606557374,0.4098360655737705,0.5409836065573771,0.48360655737704916,0.8852459016393442,0.819672131147541
